name,album,release_date,track_number,id,uri
The Fate of Ophelia,The Life of a Showgirl,2025-10-03,1,53iuhJlwXhSER5J2IYYv1W,spotify:track:53iuhJlwXhSER5J2IYYv1W
Elizabeth Taylor,The Life of a Showgirl,2025-10-03,2,1jgTiNob5cVyXeJ3WgX5bL,spotify:track:1jgTiNob5cVyXeJ3WgX5bL
Opalite,The Life of a Showgirl,2025-10-03,3,3yWuTOYDztXjZxdE2cIRUa,spotify:track:3yWuTOYDztXjZxdE2cIRUa
Father Figure,The Life of a Showgirl,2025-10-03,4,03bTIHJElXZ0O0jqOQvAbY,spotify:track:03bTIHJElXZ0O0jqOQvAbY
Eldest Daughter,The Life of a Showgirl,2025-10-03,5,62HoDY1Km6lm47haFpUn9c,spotify:track:62HoDY1Km6lm47haFpUn9c
Ruin The Friendship,The Life of a Showgirl,2025-10-03,6,62V2ZHslgQV98gH4AuVXnr,spotify:track:62V2ZHslgQV98gH4AuVXnr
Actually Romantic,The Life of a Showgirl,2025-10-03,7,2x3mwb96B6TquRqMtbxUE1,spotify:track:2x3mwb96B6TquRqMtbxUE1
Wi$h Li$t,The Life of a Showgirl,2025-10-03,8,2TEQvxxQabwLQMqWMg1qGu,spotify:track:2TEQvxxQabwLQMqWMg1qGu
Wood,The Life of a Showgirl,2025-10-03,9,5ylJtmaWPJ33cW3En7WOu0,spotify:track:5ylJtmaWPJ33cW3En7WOu0
CANCELLED!,The Life of a Showgirl,2025-10-03,10,1appZ3c336FkPvCuywfmrs,spotify:track:1appZ3c336FkPvCuywfmrs
Honey,The Life of a Showgirl,2025-10-03,11,4qmFC3Jz5aQ0erlk2OSi2X,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X
The Life of a Showgirl (feat. Sabrina Carpenter),The Life of a Showgirl,2025-10-03,12,5eXgqtg3T8Av0m1FUaGHex,spotify:track:5eXgqtg3T8Av0m1FUaGHex
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1,6dODwocEuGzHAavXqTbwHv,spotify:track:6dODwocEuGzHAavXqTbwHv
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,2,4PdLaGZubp4lghChqp8erB,spotify:track:4PdLaGZubp4lghChqp8erB
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,3,7uGYWMwRy24dm7RUDDhUlD,spotify:track:7uGYWMwRy24dm7RUDDhUlD
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,4,1kbEbBdEgQdQeLXCJh28pJ,spotify:track:1kbEbBdEgQdQeLXCJh28pJ
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,5,7wAkQFShJ27V8362MqevQr,spotify:track:7wAkQFShJ27V8362MqevQr
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,6,4QMgEffJQuKtjCNvqfRZ0m,spotify:track:4QMgEffJQuKtjCNvqfRZ0m
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7,7IWcDWOfiooH5hRs9XOVYz,spotify:track:7IWcDWOfiooH5hRs9XOVYz
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,8,5ExOm0dh4NyRyAdSAO9hyM,spotify:track:5ExOm0dh4NyRyAdSAO9hyM
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,9,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,10,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,11,5chnRTB9qMK3W1M41SnU9s,spotify:track:5chnRTB9qMK3W1M41SnU9s
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,12,3YkNIrAvbKNrrwwEd7NVLl,spotify:track:3YkNIrAvbKNrrwwEd7NVLl
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,13,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,14,1xtw1krCR6Dw2KwkXw5z63,spotify:track:1xtw1krCR6Dw2KwkXw5z63
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,15,1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,16,4d9PtIEVij9jW5OaLinH66,spotify:track:4d9PtIEVij9jW5OaLinH66
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,17,62E2nR0od0M5HYxuYLaDz7,spotify:track:62E2nR0od0M5HYxuYLaDz7
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,18,1kcwpPDQnqEqmezzXdJTCP,spotify:track:1kcwpPDQnqEqmezzXdJTCP
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,19,4EF6IyONolQy0bIQXm2EmX,spotify:track:4EF6IyONolQy0bIQXm2EmX
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,20,1rmEsOezwf2lmIZTMAO5Ag,spotify:track:1rmEsOezwf2lmIZTMAO5Ag
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,2024-04-18,1,2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,2024-04-18,2,3NMrVbIVWT3fPXBj0rNDKG,spotify:track:3NMrVbIVWT3fPXBj0rNDKG
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,2024-04-18,3,2XXwLdtuAcE0HSCu61ijAb,spotify:track:2XXwLdtuAcE0HSCu61ijAb
